,Lines
4358,"'I suppose they are those heavy ones, sir,' said Oliver, pointing to"
4359,"some large quartos, with a good deal of gilding about the binding."
4361,"'Not always those,' said the old gentleman, patting Oliver on the head,"
4362,"and smiling as he did so; 'there are other equally heavy ones, though"
4363,"of a much smaller size.  How should you like to grow up a clever man,"
4364,"and write books, eh?'"
4366,"'I think I would rather read them, sir,' replied Oliver."
4368,'What! wouldn't you like to be a book-writer?' said the old gentleman.
4370,"Oliver considered a little while; and at last said, he should think it"
4371,would be a much better thing to be a book-seller; upon which the old
4372,"gentleman laughed heartily, and declared he had said a very good thing."
4373,"Which Oliver felt glad to have done, though he by no means knew what it"
4374,was.
4376,"'Well, well,' said the old gentleman, composing his features. 'Don't be"
4377,"afraid!  We won't make an author of you, while there's an honest trade"
4378,"to be learnt, or brick-making to turn to.'"
4380,"'Thank you, sir,' said Oliver.  At the earnest manner of his reply, the"
4381,old gentleman laughed again; and said something about a curious
4382,"instinct, which Oliver, not understanding, paid no very great attention"
4383,to.
4385,"'Now,' said Mr. Brownlow, speaking if possible in a kinder, but at the"
4386,"same time in a much more serious manner, than Oliver had ever known him"
4387,"assume yet, 'I want you to pay great attention, my boy, to what I am"
4388,going to say.  I shall talk to you without any reserve; because I am
4389,"sure you are well able to understand me, as many older persons would"
4390,be.'
4392,"'Oh, don't tell you are going to send me away, sir, pray!' exclaimed"
4393,"Oliver, alarmed at the serious tone of the old gentleman's"
4394,commencement!  'Don't turn me out of doors to wander in the streets
4395,"again.  Let me stay here, and be a servant.  Don't send me back to the"
4396,"wretched place I came from.  Have mercy upon a poor boy, sir!'"
4398,"'My dear child,' said the old gentleman, moved by the warmth of"
4399,"Oliver's sudden appeal; 'you need not be afraid of my deserting you,"
4400,unless you give me cause.'
4402,"'I never, never will, sir,' interposed Oliver."
4404,"'I hope not,' rejoined the old gentleman.  'I do not think you ever"
4405,"will.  I have been deceived, before, in the objects whom I have"
4406,"endeavoured to benefit; but I feel strongly disposed to trust you,"
4407,nevertheless; and I am more interested in your behalf than I can well
4408,"account for, even to myself.  The persons on whom I have bestowed my"
4409,"dearest love, lie deep in their graves; but, although the happiness and"
4410,"delight of my life lie buried there too, I have not made a coffin of my"
4411,"heart, and sealed it up, forever, on my best affections.  Deep"
4412,affliction has but strengthened and refined them.'
4414,As the old gentleman said this in a low voice:  more to himself than to
4415,his companion:  and as he remained silent for a short time afterwards:
4416,Oliver sat quite still.
4418,"'Well, well!' said the old gentleman at length, in a more cheerful"
4419,"tone, 'I only say this, because you have a young heart; and knowing"
4420,"that I have suffered great pain and sorrow, you will be more careful,"
4421,"perhaps, not to wound me again.  You say you are an orphan, without a"
4422,"friend in the world; all the inquiries I have been able to make,"
4423,confirm the statement.  Let me hear your story; where you come from;
4424,who brought you up; and how you got into the company in which I found
4425,"you.  Speak the truth, and you shall not be friendless while I live.'"
4427,Oliver's sobs checked his utterance for some minutes; when he was on
4428,the point of beginning to relate how he had been brought up at the
4429,"farm, and carried to the workhouse by Mr. Bumble, a peculiarly"
4430,impatient little double-knock was heard at the street-door:  and the
4431,"servant, running upstairs, announced Mr. Grimwig."
4433,'Is he coming up?' inquired Mr. Brownlow.
4435,"'Yes, sir,' replied the servant.  'He asked if there were any muffins"
4436,"in the house; and, when I told him yes, he said he had come to tea.'"
4438,"Mr. Brownlow smiled; and, turning to Oliver, said that Mr. Grimwig was"
4439,"an old friend of his, and he must not mind his being a little rough in"
4440,"his manners; for he was a worthy creature at bottom, as he had reason"
4441,to know.
4443,"'Shall I go downstairs, sir?' inquired Oliver."
4445,"'No,' replied Mr. Brownlow, 'I would rather you remained here.'"
4447,"At this moment, there walked into the room:  supporting himself by a"
4448,"thick stick:  a stout old gentleman, rather lame in one leg, who was"
4449,"dressed in a blue coat, striped waistcoat, nankeen breeches and"
4450,"gaiters, and a broad-brimmed white hat, with the sides turned up with"
4451,green.  A very small-plaited shirt frill stuck out from his waistcoat;
4452,"and a very long steel watch-chain, with nothing but a key at the end,"
4453,dangled loosely below it.  The ends of his white neckerchief were
4454,twisted into a ball about the size of an orange; the variety of shapes
4455,"into which his countenance was twisted, defy description.  He had a"
4456,manner of screwing his head on one side when he spoke; and of looking
4457,out of the corners of his eyes at the same time:  which irresistibly
4458,"reminded the beholder of a parrot.  In this attitude, he fixed himself,"
4459,"the moment he made his appearance; and, holding out a small piece of"
4460,"orange-peel at arm's length, exclaimed, in a growling, discontented"
4461,voice.
4463,'Look here! do you see this!  Isn't it a most wonderful and
4464,extraordinary thing that I can't call at a man's house but I find a
4465,piece of this poor surgeon's friend on the staircase? I've been lamed
4466,"with orange-peel once, and I know orange-peel will be my death, or I'll"
4467,"be content to eat my own head, sir!'"
4469,This was the handsome offer with which Mr. Grimwig backed and confirmed
4470,nearly every assertion he made; and it was the more singular in his
4471,"case, because, even admitting for the sake of argument, the possibility"
4472,of scientific improvements being brought to that pass which will enable
4473,"a gentleman to eat his own head in the event of his being so disposed,"
4474,"Mr. Grimwig's head was such a particularly large one, that the most"
4475,sanguine man alive could hardly entertain a hope of being able to get
4476,"through it at a sitting--to put entirely out of the question, a very"
4477,thick coating of powder.
4479,"'I'll eat my head, sir,' repeated Mr. Grimwig, striking his stick upon"
4480,"the ground.  'Hallo! what's that!' looking at Oliver, and retreating a"
4481,pace or two.
4483,"'This is young Oliver Twist, whom we were speaking about,' said Mr."
4484,Brownlow.
4486,Oliver bowed.
4488,"'You don't mean to say that's the boy who had the fever, I hope?' said"
4489,"Mr. Grimwig, recoiling a little more.  'Wait a minute! Don't speak!"
4490,"Stop--' continued Mr. Grimwig, abruptly, losing all dread of the fever"
4491,in his triumph at the discovery; 'that's the boy who had the orange!
4492,"If that's not the boy, sir, who had the orange, and threw this bit of"
4493,"peel upon the staircase, I'll eat my head, and his too.'"
4495,"'No, no, he has not had one,' said Mr. Brownlow, laughing. 'Come!  Put"
4496,down your hat; and speak to my young friend.'
4498,"'I feel strongly on this subject, sir,' said the irritable old"
4499,"gentleman, drawing off his gloves.  'There's always more or less"
4500,orange-peel on the pavement in our street; and I _know_ it's put there
4501,by the surgeon's boy at the corner.  A young woman stumbled over a bit
4502,"last night, and fell against my garden-railings; directly she got up I"
4503,saw her look towards his infernal red lamp with the pantomime-light.
4504,"""Don't go to him,"" I called out of the window, ""he's an assassin!  A"
4505,"man-trap!""  So he is.  If he is not--'  Here the irascible old"
4506,gentleman gave a great knock on the ground with his stick; which was
4507,"always understood, by his friends, to imply the customary offer,"
4508,"whenever it was not expressed in words. Then, still keeping his stick"
4509,"in his hand, he sat down; and, opening a double eye-glass, which he"
4510,"wore attached to a broad black riband, took a view of Oliver:  who,"
4511,"seeing that he was the object of inspection, coloured, and bowed again."
4513,"'That's the boy, is it?' said Mr. Grimwig, at length."
4515,"'That's the boy,' replied Mr. Brownlow."
4517,"'How are you, boy?' said Mr. Grimwig."
4519,"'A great deal better, thank you, sir,' replied Oliver."
4521,"Mr. Brownlow, seeming to apprehend that his singular friend was about"
4522,"to say something disagreeable, asked Oliver to step downstairs and tell"
4523,"Mrs. Bedwin they were ready for tea; which, as he did not half like the"
4524,"visitor's manner, he was very happy to do."
4526,"'He is a nice-looking boy, is he not?' inquired Mr. Brownlow."
4528,"'I don't know,' replied Mr. Grimwig, pettishly."
4530,'Don't know?'
4532,'No.  I don't know.  I never see any difference in boys.  I only knew
4533,"two sort of boys.  Mealy boys, and beef-faced boys.'"
4535,'And which is Oliver?'
4537,"'Mealy.  I know a friend who has a beef-faced boy; a fine boy, they"
